Predicted duration,6.0,,,
Predicted error,0.5,,,
Predicted start,04:22:42,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
271,[04:21:55.9136320],1055673,91183
272,[04:21:55.9636225],1026105,90953
273,[04:21:56.0137172],1042852,93457
274,[04:21:56.0637817],1068517,89348
275,[04:21:56.1138318],1089953,97750
276,[04:21:56.1639661],1072995,93526
277,[04:21:56.2138996],1032297,92005
278,[04:21:56.2640700],1064404,84890
279,[04:21:56.3141815],1021579,88877
280,[04:21:56.3642279],1077252,87944
281,[04:21:56.4143076],1044646,89882
282,[04:21:56.4642367],1077313,89104
283,[04:21:56.5145244],1107726,89180
284,[04:21:56.5645926],1059573,92593
285,[04:21:56.6144646],1054495,88294
286,[04:21:56.6647097],1083037,93737
287,[04:21:56.7146666],1078059,91776
288,[04:21:56.7647890],1005174,97896
289,[04:21:56.8149444],1054829,92992
290,[04:21:56.8653069],1059146,85603
291,[04:21:56.9152962],1092618,87265
292,[04:21:56.9649937],1025226,91507
293,[04:21:57.0153601],1061778,92242
294,[04:21:57.0652742],1102649,90773
295,[04:21:57.1157440],1048511,99793
296,[04:21:57.1658652],1046632,88683
297,[04:21:57.2159998],1108395,91403
298,[04:21:57.2659655],1021927,94677
299,[04:21:57.3160447],1052195,93299
300,[04:21:57.3679746],1057011,88163
301,[04:21:57.4162012],1051823,92918
302,[04:21:57.4661608],1100715,86827
303,[04:21:57.5168101],1050933,91848
304,[04:21:57.5660731],1121091,89337
305,[04:21:57.6168127],1058364,94211
306,[04:21:57.6664890],1071774,92454
307,[04:21:57.7160921],1043938,86773
308,[04:21:57.7666755],1067803,101320
309,[04:21:57.8166682],1088190,91701
310,[04:21:57.8721569],1051486,91489
311,[04:21:57.9180704],1051925,88902
312,[04:21:57.9666889],1019977,90086
313,[04:21:58.0167704],1084551,96767
314,[04:21:58.0668279],1032893,93182
315,[04:21:58.1177393],1000694,93598
316,[04:21:58.1668995],1049897,89531
317,[04:21:58.2169668],1145520,92562
318,[04:21:58.2671356],1069929,87764
319,[04:21:58.3172102],1108092,94749
320,[04:21:58.3677607],1057695,91784
321,[04:21:58.4173063],1099277,94135
322,[04:21:58.4676689],1115222,87786
323,[04:21:58.5174994],1105080,96444
324,[04:21:58.5675017],1078096,89353
325,[04:21:58.6176517],1035253,87193
326,[04:21:58.6675529],1037670,87980
327,[04:21:58.7177750],1058718,96972
328,[04:21:58.7679321],1035935,94078
329,[04:21:58.8180469],1094682,93245
330,[04:21:58.8680110],1073301,95251
331,[04:21:58.9181729],1118467,92577
332,[04:21:58.9682680],1064402,90602
333,[04:21:59.0183046],1093510,94212
334,[04:21:59.0683749],1077808,86598
