Predicted duration,0.5,,,
Predicted error,6.6,,,
Predicted start,07:01:55,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
308,[07:01:42.3640288],41150,4851849,114679
309,[07:01:42.5154051],34748,5032061,89747
310,[07:01:42.6620489],32295,4572174,85779
311,[07:01:42.8121339],29605,4612092,88479
312,[07:01:42.9660055],31264,5056612,78191
313,[07:01:43.1124280],27512,5158419,94608
314,[07:01:43.2649691],19123,4629668,47634
315,[07:01:43.4124838],16154,4288204,26018
316,[07:01:43.5641528],16880,4094673,59789
317,[07:01:43.7144463],19928,4699402,62210
318,[07:01:43.8635024],14283,5059626,24380
319,[07:01:44.0144173],12247,4383696,16112
320,[07:01:44.1642481],15885,4201327,31004
321,[07:01:44.3129375],17027,4777404,60118
322,[07:01:44.4630225],27702,4612563,68443
323,[07:01:44.6150506],27674,4894780,67848
324,[07:01:44.7630165],24759,4276908,85825
325,[07:01:44.9132774],24591,4975540,83319
326,[07:01:45.0653804],29520,4908178,99483
327,[07:01:45.2136520],40178,4590751,79124
328,[07:01:45.3661990],32686,4879604,105990
329,[07:01:45.5134066],29667,5051732,109686
330,[07:01:45.6655086],37671,5054199,86528
331,[07:01:45.8160758],27499,4792271,91443
332,[07:01:45.9640364],44168,4935900,109813
333,[07:01:46.1139146],39545,5100690,120360
334,[07:01:46.2677044],39258,4822133,127830
335,[07:01:46.4140812],48368,4991014,110673
336,[07:01:46.5647389],40026,5191709,116566
337,[07:01:46.7141343],41955,4719394,113686
338,[07:01:46.8662064],42251,5211722,109323
339,[07:01:47.0145236],43373,4966811,101377
340,[07:01:47.1645698],33340,5104051,112297
341,[07:01:47.3177508],39511,5207083,115356
342,[07:01:47.4646814],43450,5118228,98920
343,[07:01:47.6145890],41334,5012265,100105
344,[07:01:47.7660235],38336,4695285,98491
345,[07:01:47.9158757],38674,5212596,119483
346,[07:01:48.0665120],41045,4700908,103296
347,[07:01:48.2151775],42690,5047809,126850
348,[07:01:48.3648967],37718,5455279,106193
349,[07:01:48.5182887],43902,5441098,90514
350,[07:01:48.6659921],38637,4940047,117732
351,[07:01:48.8153397],37008,4752047,113151
352,[07:01:48.9661240],39832,4754882,130445
353,[07:01:49.1156073],47552,5005877,107899
354,[07:01:49.2657729],37176,4860999,98842
355,[07:01:49.4181667],40229,5330432,118465
356,[07:01:49.5663332],41570,4830349,106216
357,[07:01:49.7186522],44012,4974828,126300
358,[07:01:49.8663023],38137,5415258,117494
359,[07:01:50.0160073],42617,4886600,114168
360,[07:01:50.1677063],35925,4478828,110143
361,[07:01:50.3159840],34316,5323933,112073
362,[07:01:50.4662424],39004,4888740,109010
363,[07:01:50.6177634],39986,5190899,98038
364,[07:01:50.7684475],37276,4736051,115921
365,[07:01:50.9167300],50127,4946703,88133
366,[07:01:51.0664931],39693,4929909,106654
367,[07:01:51.2182084],39447,4697092,110676
368,[07:01:51.3685801],39706,4750820,119532
369,[07:01:51.5166096],44256,4852078,106663
370,[07:01:51.6685263],44959,5200121,135995
371,[07:01:51.8168653],36932,4920191,111304
372,[07:01:51.9703964],40048,4762010,106063
373,[07:01:52.1172907],41238,5314561,100454
374,[07:01:52.2688264],38060,4693564,105870
375,[07:01:52.4198177],44476,4864049,105744
376,[07:01:52.5680385],35196,5325533,125383
377,[07:01:52.7193503],40893,5012599,106523
378,[07:01:52.8689138],40772,4461483,103807
379,[07:01:53.0190885],35424,4923766,99182
380,[07:01:53.1676133],34878,5161271,108210
381,[07:01:53.3178611],38019,5067900,90237
382,[07:01:53.4708886],30946,5246114,92629
383,[07:01:53.6208784],30301,5065066,89070
384,[07:01:53.7680181],30377,4938951,87238
385,[07:01:53.9200932],36627,4644367,111034
386,[07:01:54.0697349],34456,4639086,95514
387,[07:01:54.2197867],35548,4763734,92814
388,[07:01:54.3682255],42607,4977748,111892
389,[07:01:54.5208167],35305,4876181,114538
390,[07:01:54.6684860],40539,4896826,114488
391,[07:01:54.8196431],36198,5080895,85807
392,[07:01:54.9709549],36913,5235624,93581
393,[07:01:55.1209865],35720,4958193,113163
394,[07:01:55.2704938],37937,4684453,102707
395,[07:01:55.4187630],38564,5081474,102523
396,[07:01:55.5690188],36967,5056247,92951
397,[07:01:55.7206607],38759,4745352,118517
398,[07:01:55.8695449],30540,4862517,104111
399,[07:01:56.0190627],38563,5185736,105750
400,[07:01:56.1694027],38507,4442544,104544
401,[07:01:56.3191400],34555,5185207,113056
402,[07:01:56.4717446],33140,4451174,86273
403,[07:01:56.6198062],37644,4940883,92458
404,[07:01:56.7708351],36653,5029578,103716
405,[07:01:56.9212050],42010,4946436,106135
406,[07:01:57.0697703],44494,5039377,127435
407,[07:01:57.2200349],42165,5452186,112624
408,[07:01:57.3715826],36929,5087201,89075
409,[07:01:57.5208749],36857,4917391,98925
410,[07:01:57.6700142],29766,4460126,69892
411,[07:01:57.8220968],26970,4886736,83918
412,[07:01:57.9701613],27608,5357553,60987
413,[07:01:58.1204486],27380,4680245,68613
414,[07:01:58.2717794],36734,4879476,90806
415,[07:01:58.4215467],29675,4491316,70243
416,[07:01:58.5721321],27405,4294830,85863
417,[07:01:58.7204669],28174,4869260,85968
418,[07:01:58.8707172],31968,4581254,59179
419,[07:01:59.0224157],28839,5051995,82521
420,[07:01:59.1707935],27121,4595186,90889
421,[07:01:59.3208327],32232,4783824,66080
422,[07:01:59.4729015],30436,4962733,98787
423,[07:01:59.6221078],39424,5043108,96729
424,[07:01:59.7735968],40108,4544433,107624
425,[07:01:59.9210338],43704,4636770,98432
426,[07:02:00.0728596],37345,4912465,97593
427,[07:02:00.2213244],30397,4821144,100689
428,[07:02:00.3717386],31331,4349155,88329
429,[07:02:00.5249180],32009,4781805,95547
430,[07:02:00.6725407],28579,4496314,75974
431,[07:02:00.8237482],21247,4609219,70671
432,[07:02:00.9716599],30813,4477876,75326
433,[07:02:01.1227946],29826,4666627,84820
434,[07:02:01.2745174],20768,4724320,75893
435,[07:02:01.4239641],35480,4530123,85273
436,[07:02:01.5727065],26427,4614165,81573
437,[07:02:01.7238025],33577,4685968,90510
438,[07:02:01.8739651],28464,4206089,68250
439,[07:02:02.0234247],32784,4777151,73969
440,[07:02:02.1750218],28601,4702946,83480
441,[07:02:02.3248373],36737,4961153,86095
442,[07:02:02.4742494],29298,5118002,85660
443,[07:02:02.6229741],35149,5087426,88808
444,[07:02:02.7754915],33113,4872355,81002
445,[07:02:02.9240675],25894,4952057,105019
446,[07:02:03.0746854],33671,4903101,98073
447,[07:02:03.2229321],29977,4594199,95933
448,[07:02:03.3736560],32649,4890139,87944
449,[07:02:03.5256353],22693,4886619,109273
450,[07:02:03.6732936],29355,4694022,89575
451,[07:02:03.8257373],30458,4829576,98459
452,[07:02:03.9749642],28363,5198469,105482
453,[07:02:04.1256038],38485,4963032,82667
454,[07:02:04.2752831],33515,4925836,77823
455,[07:02:04.4255266],24815,5089905,85510
456,[07:02:04.5740969],31722,4913551,102494
457,[07:02:04.7257002],37806,4839682,102198
458,[07:02:04.8756224],35762,4620929,111174
459,[07:02:05.0263729],38061,5271100,108558
460,[07:02:05.1738393],38586,4622776,102165
461,[07:02:05.3249286],44437,4602236,102834
462,[07:02:05.4762206],38123,4884829,98300
463,[07:02:05.6248850],34855,5086854,91239
464,[07:02:05.7756646],31148,4860782,104705
465,[07:02:05.9244601],36731,4819106,98863
466,[07:02:06.0745820],30679,4853178,93732
467,[07:02:06.2278984],31187,4634966,98855
468,[07:02:06.3755152],34105,4556200,104344
469,[07:02:06.5246923],36201,4655955,93376
470,[07:02:06.6748343],41965,5129813,100910
471,[07:02:06.8248669],34390,5024523,97564
472,[07:02:06.9750478],36412,5252863,101463
473,[07:02:07.1249507],39999,5274091,99836
474,[07:02:07.2750529],43139,4975285,124492
475,[07:02:07.4276123],38504,4957119,114377
476,[07:02:07.5753094],43841,4786771,109403
477,[07:02:07.7253366],38339,5277483,113515
478,[07:02:07.8770561],44077,4664789,97145
479,[07:02:08.0273518],32447,4938809,113381
480,[07:02:08.1772742],29710,4718848,79158
481,[07:02:08.3279181],34472,4901118,101175
482,[07:02:08.4756689],33793,4748702,98474
483,[07:02:08.6264464],34425,5136803,114598
484,[07:02:08.7773004],31277,4859939,98245
485,[07:02:08.9276213],36633,4872527,114894
486,[07:02:09.0779673],35748,4822552,92605
487,[07:02:09.2260333],33944,4888418,88703
488,[07:02:09.3781954],26875,5058558,80628
489,[07:02:09.5287498],25182,4639391,90298
490,[07:02:09.6765290],33604,4571915,73502
491,[07:02:09.8280880],28597,5014527,95488
492,[07:02:09.9795223],38780,5057978,97610
493,[07:02:10.1308341],44835,4961856,90542
494,[07:02:10.2768012],25800,4806561,99956
495,[07:02:10.4287978],34982,5246896,104910
496,[07:02:10.5776063],40626,4877133,96697
497,[07:02:10.7301201],33091,5096721,88005
