Predicted duration,0.4,,,
Predicted error,1.1,,,
Predicted start,00:30:51,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track
364,[00:30:28.1775174],8921,10419
365,[00:30:28.1975425],8562,9133
366,[00:30:28.2176200],10290,7951
367,[00:30:28.2376613],8815,8674
368,[00:30:28.2578237],8654,8964
369,[00:30:28.2778643],8095,9666
370,[00:30:28.2983786],10503,8878
371,[00:30:28.3180164],8964,6507
372,[00:30:28.3381422],8730,8850
373,[00:30:28.3586834],7660,8623
374,[00:30:28.3783070],9320,7317
375,[00:30:28.3983594],7093,8008
376,[00:30:28.4183238],9033,9617
377,[00:30:28.4384407],9726,10065
378,[00:30:28.4585082],8834,7807
379,[00:30:28.4786850],10327,8259
380,[00:30:28.4987661],10331,7780
381,[00:30:28.5188490],9927,10417
382,[00:30:28.5390432],11251,9594
383,[00:30:28.5589729],7359,11386
384,[00:30:28.5790867],9934,8517
385,[00:30:28.5992244],9897,8417
386,[00:30:28.6192904],9316,10015
387,[00:30:28.6397160],9593,9234
388,[00:30:28.6594629],8875,8534
389,[00:30:28.6795017],9876,8910
390,[00:30:28.6995626],10259,8151
391,[00:30:28.7196379],8579,10340
392,[00:30:28.7397330],8751,7775
393,[00:30:28.7597759],8100,8290
394,[00:30:28.7800635],10211,10611
395,[00:30:28.7999784],9545,8203
396,[00:30:28.8200788],9360,9268
397,[00:30:28.8401532],9416,8783
398,[00:30:28.8602192],8814,8749
399,[00:30:28.8802474],9794,10708
400,[00:30:28.9004248],9483,7510
401,[00:30:28.9204282],7962,9418
402,[00:30:28.9404773],9041,8523
403,[00:30:28.9605960],8912,8706
404,[00:30:28.9806810],9867,9287
405,[00:30:29.0007543],8865,10118
406,[00:30:29.0208545],8406,8615
407,[00:30:29.0409358],9455,10889
408,[00:30:29.0610130],11853,10163
409,[00:30:29.0811284],9343,8859
410,[00:30:29.1011396],8447,8174
411,[00:30:29.1212191],9058,8697
412,[00:30:29.1412758],9936,7176
413,[00:30:29.1613517],8899,8849
414,[00:30:29.1814539],8164,8809
415,[00:30:29.2014912],7854,8219
416,[00:30:29.2214852],10283,8808
417,[00:30:29.2415526],9017,8670
418,[00:30:29.2617652],9066,8868
419,[00:30:29.2818450],8857,10049
420,[00:30:29.3018928],9762,9258
421,[00:30:29.3219639],9322,8668
422,[00:30:29.3419746],8391,8067
423,[00:30:29.3621065],9087,9315
424,[00:30:29.3822572],9510,8463
425,[00:30:29.4022310],11897,7289
426,[00:30:29.4223419],10024,8287
427,[00:30:29.4424871],9336,7596
428,[00:30:29.4625345],8954,9608
429,[00:30:29.4825876],10476,8726
430,[00:30:29.5027669],9782,9069
431,[00:30:29.5228365],9612,8405
432,[00:30:29.5428051],7874,8802
433,[00:30:29.5629910],10586,7666
434,[00:30:29.5834925],9435,7885
435,[00:30:29.6037777],9558,8975
436,[00:30:29.6231659],8216,7650
437,[00:30:29.6432990],8385,8590
438,[00:30:29.6633316],10395,9213
439,[00:30:29.6841347],9170,8679
440,[00:30:29.7035234],9841,8393
441,[00:30:29.7236167],8862,8108
442,[00:30:29.7436705],9089,7820
443,[00:30:29.7636913],8237,8307
444,[00:30:29.7838477],8724,8841
445,[00:30:29.8038823],8952,9395
446,[00:30:29.8239445],9594,8606
447,[00:30:29.8440682],8432,7928
448,[00:30:29.8641408],10577,8645
449,[00:30:29.8841411],10508,9075
450,[00:30:29.9043558],8392,7965
451,[00:30:29.9243734],8701,9212
452,[00:30:29.9444538],8881,7826
453,[00:30:29.9645606],9615,9388
454,[00:30:29.9845477],10867,8641
455,[00:30:30.0045857],9516,10238
456,[00:30:30.0248123],8650,10384
457,[00:30:30.0448486],8790,10502
458,[00:30:30.0650179],10004,9779
459,[00:30:30.0849322],9748,8628
460,[00:30:30.1050059],9884,9633
461,[00:30:30.1251058],9362,9667
462,[00:30:30.1451589],7448,8990
463,[00:30:30.1653442],9364,8793
464,[00:30:30.1853109],8421,9465
465,[00:30:30.2054803],8024,7976
466,[00:30:30.2254357],9360,8810
467,[00:30:30.2455642],9848,7736
468,[00:30:30.2656772],10512,8116
469,[00:30:30.2858061],10652,8402
470,[00:30:30.3058430],9033,8631
471,[00:30:30.3260083],8278,9858
472,[00:30:30.3459448],10782,7969
473,[00:30:30.3661114],10010,7664
474,[00:30:30.3861000],7640,9987
475,[00:30:30.4063471],9698,7636
476,[00:30:30.4263936],9977,9584
477,[00:30:30.4463438],12148,9289
478,[00:30:30.4664800],7296,9947
479,[00:30:30.4865801],8954,9979
480,[00:30:30.5066229],11224,8874
481,[00:30:30.5267856],9377,8539
482,[00:30:30.5469020],8429,8213
483,[00:30:30.5670267],10641,9062
484,[00:30:30.5868655],9855,7587
