Predicted duration,1.4,,,
Predicted error,5.9,,,
Predicted start,00:48:20,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
497,[00:47:12.6342901],50,72,50
498,[00:47:12.7325343],71,80,45
499,[00:47:12.8330753],32,66,66
500,[00:47:12.9328397],55,75,46
501,[00:47:13.0331657],55,74,66
502,[00:47:13.1327402],47,66,64
503,[00:47:13.2328172],65,49,50
504,[00:47:13.3326696],56,62,64
505,[00:47:13.4336109],62,69,78
506,[00:47:13.5332961],60,64,61
507,[00:47:13.6335300],55,61,58
508,[00:47:13.7330717],57,71,61
509,[00:47:13.8346890],70,73,47
510,[00:47:13.9333731],51,55,67
511,[00:47:14.0346998],39,77,65
512,[00:47:14.1340098],46,67,51
513,[00:47:14.2335756],68,67,41
514,[00:47:14.3345055],76,77,62
515,[00:47:14.4353406],67,78,33
516,[00:47:14.5338426],59,64,59
517,[00:47:14.6355086],59,68,63
518,[00:47:14.7338922],56,56,67
519,[00:47:14.8346540],48,67,62
520,[00:47:14.9340576],66,64,53
521,[00:47:15.0355157],53,74,58
522,[00:47:15.1348412],42,61,82
523,[00:47:15.2354091],67,50,47
524,[00:47:15.3347298],67,70,54
525,[00:47:15.4345482],66,59,50
526,[00:47:15.5357451],44,63,49
527,[00:47:15.6360810],81,60,86
528,[00:47:15.7345590],75,67,66
529,[00:47:15.8358624],59,67,62
530,[00:47:15.9347740],57,53,69
531,[00:47:16.0359525],71,68,47
532,[00:47:16.1357438],58,74,60
533,[00:47:16.2349691],50,45,58
534,[00:47:16.3349222],64,68,51
535,[00:47:16.4356382],52,59,58
536,[00:47:16.5358582],47,60,50
537,[00:47:16.6355141],61,58,55
538,[00:47:16.7370417],57,62,55
539,[00:47:16.8354827],66,61,69
540,[00:47:16.9358692],64,65,56
541,[00:47:17.0360059],31,62,64
542,[00:47:17.1357202],47,54,57
543,[00:47:17.2359306],30,73,55
544,[00:47:17.3363936],79,62,46
545,[00:47:17.4359435],37,50,61
546,[00:47:17.5381844],49,65,65
547,[00:47:17.6371752],65,62,59
548,[00:47:17.7370015],76,66,69
549,[00:47:17.8375240],84,52,60
550,[00:47:17.9361641],70,58,49
551,[00:47:18.0363650],53,62,52
552,[00:47:18.1371841],51,69,59
553,[00:47:18.2376518],49,50,63
554,[00:47:18.3364542],67,77,56
555,[00:47:18.4367578],51,67,74
556,[00:47:18.5380694],53,57,69
557,[00:47:18.6378919],59,52,67
558,[00:47:18.7369374],75,60,72
559,[00:47:18.8385514],58,65,55
560,[00:47:18.9371422],63,74,51
561,[00:47:19.0382291],71,70,83
562,[00:47:19.1382614],47,75,67
563,[00:47:19.2373289],54,65,50
564,[00:47:19.3386641],32,68,71
565,[00:47:19.4382193],63,81,60
566,[00:47:19.5373912],74,61,76
567,[00:47:19.6375679],34,81,76
568,[00:47:19.7376741],36,67,31
569,[00:47:19.8376939],76,82,63
570,[00:47:19.9380691],66,84,60
571,[00:47:20.0383083],76,78,53
572,[00:47:20.1379625],39,87,64
573,[00:47:20.2397746],64,31,64
574,[00:47:20.3381186],37,71,49
575,[00:47:20.4386929],23,67,48
576,[00:47:20.5386208],76,44,62
577,[00:47:20.6389375],80,75,41
578,[00:47:20.7381488],52,74,56
579,[00:47:20.8384764],55,57,56
580,[00:47:20.9386146],60,72,55
581,[00:47:21.0391201],74,40,68
582,[00:47:21.1398064],33,38,66
583,[00:47:21.2405163],78,36,61
584,[00:47:21.3393150],49,36,66
585,[00:47:21.4389971],62,81,59
586,[00:47:21.5389400],58,78,64
587,[00:47:21.6401257],81,32,60
588,[00:47:21.7394041],73,34,68
589,[00:47:21.8406678],29,86,55
590,[00:47:21.9392047],69,35,57
591,[00:47:22.0391807],53,63,49
592,[00:47:22.1407917],65,83,61
593,[00:47:22.2394467],63,37,72
594,[00:47:22.3406390],34,78,40
595,[00:47:22.4398480],72,32,55
596,[00:47:22.5418345],65,64,33
597,[00:47:22.6398795],64,35,68
598,[00:47:22.7399837],71,47,53
599,[00:47:22.8403559],64,75,66
600,[00:47:22.9402948],63,37,49
601,[00:47:23.0401829],64,41,70
602,[00:47:23.1413654],60,63,59
603,[00:47:23.2404436],40,81,79
604,[00:47:23.3411253],77,63,60
605,[00:47:23.4424816],56,82,46
606,[00:47:23.5406577],61,78,72
607,[00:47:23.6411250],60,72,57
608,[00:47:23.7426444],51,45,82
609,[00:47:23.8411233],39,42,63
610,[00:47:23.9422230],31,59,64
611,[00:47:24.0420248],49,78,53
612,[00:47:24.1416510],58,43,44
613,[00:47:24.2425560],45,48,47
614,[00:47:24.3429564],56,79,71
615,[00:47:24.4410882],57,78,58
616,[00:47:24.5415951],68,36,55
617,[00:47:24.6422100],44,80,51
618,[00:47:24.7414703],59,38,61
619,[00:47:24.8427731],42,72,43
620,[00:47:24.9414768],67,35,60
621,[00:47:25.0427124],50,42,43
622,[00:47:25.1427306],48,81,39
623,[00:47:25.2418476],50,74,62
