Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
380,[04:56:42.7515264],7739,289720,154720
381,[04:56:42.9016208],4768,324680,130991
382,[04:56:43.0517151],5866,333926,121812
383,[04:56:43.2018095],12272,331736,104569
384,[04:56:43.3519039],15683,299042,119361
385,[04:56:43.5019983],8921,263541,129156
386,[04:56:43.6520927],8739,401871,95439
387,[04:56:43.8021871],6796,299996,161821
388,[04:56:43.9522815],6139,249200,100418
389,[04:56:44.1023759],9290,322761,108085
390,[04:56:44.2524703],8924,331432,94123
391,[04:56:44.4025647],6886,318570,93012
392,[04:56:44.5526592],9920,319031,109304
393,[04:56:44.7027536],8724,299982,149946
394,[04:56:44.8528480],7650,340385,97851
395,[04:56:45.0029423],8684,345088,95970
396,[04:56:45.1530367],6227,307653,111999
397,[04:56:45.3031311],5939,399153,100332
398,[04:56:45.4532255],5388,374943,102862
399,[04:56:45.6033199],10644,338836,98940
400,[04:56:45.7534143],6346,242706,170686
401,[04:56:45.9035087],9699,365259,116327
402,[04:56:46.0536030],6955,388272,131830
403,[04:56:46.2036974],9931,338917,116347
404,[04:56:46.3537918],10324,268812,120270
405,[04:56:46.5038862],10883,231975,107652
406,[04:56:46.6539806],8764,298307,122937
407,[04:56:46.8040750],5936,367738,143061
408,[04:56:46.9541694],7439,299687,120661
409,[04:56:47.1042637],2074,270908,90041
410,[04:56:47.2543581],6612,286723,118189
411,[04:56:47.4044525],8496,329792,118464
412,[04:56:47.5545469],6185,293225,129394
413,[04:56:47.7046413],3467,242219,157430
414,[04:56:47.8547357],5499,325406,83223
415,[04:56:48.0048301],10317,292441,86156
416,[04:56:48.1549245],6908,309190,84463
417,[04:56:48.3050189],5821,423804,151493
418,[04:56:48.4551134],6249,261400,121695
419,[04:56:48.6052078],5084,297667,83396
420,[04:56:48.7553022],8940,272456,93403
421,[04:56:48.9053966],16552,390821,89446
422,[04:56:49.0554909],8089,234395,99991
423,[04:56:49.2055853],37814,286818,129045
424,[04:56:49.3556797],50707,319333,85608
425,[04:56:49.5057741],56011,308009,101543
426,[04:56:49.6558685],56910,300179,114107
427,[04:56:49.8059629],63489,254929,64382
428,[04:56:49.9560573],51420,281005,79599
429,[04:56:50.1061516],44863,276064,179541
430,[04:56:50.2562460],36316,237645,94519
431,[04:56:50.4063404],7906,274224,124606
432,[04:56:50.5564348],9008,284484,66276
433,[04:56:50.7065292],4892,386346,90267
434,[04:56:50.8566236],2364,275754,82718
435,[04:56:51.0067179],9477,228172,128300
436,[04:56:51.1568123],4407,346192,161127
437,[04:56:51.3069067],6039,314979,147108
438,[04:56:51.4570011],8853,311460,125367
439,[04:56:51.6070955],2740,294126,90379
440,[04:56:51.7571899],13796,271440,107970
441,[04:56:51.9072844],10058,247904,117999
442,[04:56:52.0573788],3664,311468,125228
443,[04:56:52.2074732],8881,297726,120422
444,[04:56:52.3575676],9784,294980,146089
445,[04:56:52.5076620],9171,289919,99328
446,[04:56:52.6577564],11774,393317,118724
447,[04:56:52.8078508],7779,332498,135996
448,[04:56:52.9579452],10210,332140,126714
449,[04:56:53.1080395],14622,323356,136886
450,[04:56:53.2581339],12636,333440,104677
451,[04:56:53.4082283],4390,300297,94212
452,[04:56:53.5583227],8467,300505,88849
453,[04:56:53.7084171],6739,272019,71592
454,[04:56:53.8585115],5739,274332,150094
455,[04:56:54.0086058],64,351614,122997
456,[04:56:54.1587002],3055,398873,108751
457,[04:56:54.3087946],5582,380895,131731
458,[04:56:54.4588890],10377,323544,119124
459,[04:56:54.6089834],4789,297004,102880
460,[04:56:54.7590779],8908,347815,138614
461,[04:56:54.9091723],7589,382910,85945
462,[04:56:55.0592666],8035,328852,111603
463,[04:56:55.2093610],10120,378158,94632
464,[04:56:55.3594554],13850,396598,92055
465,[04:56:55.5095498],10001,299668,119677
466,[04:56:55.6596442],7133,420276,101285
467,[04:56:55.8097386],7349,424140,113217
468,[04:56:55.9598330],9898,315304,119125
469,[04:56:56.1099273],11357,278977,129388
470,[04:56:56.2600217],3167,266974,128042
471,[04:56:56.4101161],6399,271867,128420
472,[04:56:56.5602105],6090,250638,121328
473,[04:56:56.7103049],9882,352669,118796
474,[04:56:56.8603993],3411,281492,86704
475,[04:56:57.0104936],7689,461335,115440
476,[04:56:57.1605881],8175,326175,93817
477,[04:56:57.3106825],7019,419258,93456
478,[04:56:57.4607769],3556,285820,156664
479,[04:56:57.6108713],8935,286224,84460
480,[04:56:57.7609657],7517,353508,86000
481,[04:56:57.9110601],7435,323543,120373
482,[04:56:58.0611544],7005,311057,104976
483,[04:56:58.2112488],11857,333570,121525
484,[04:56:58.3613432],10683,292145,97027
485,[04:56:58.5114376],7052,387148,82980
486,[04:56:58.6615320],8290,367749,119339
487,[04:56:58.8116264],7314,378790,113923
488,[04:56:58.9617208],5846,344757,136115
489,[04:56:59.1118152],9310,313285,108174
490,[04:56:59.2619096],5819,373391,133732
491,[04:56:59.4120041],9330,327359,103169
492,[04:56:59.5620985],8968,289773,124502
493,[04:56:59.7121929],9444,281535,73661
494,[04:56:59.8622873],11266,269400,75185
495,[04:57:00.0123816],4626,328017,145150
496,[04:57:00.1624760],11057,262042,112052
497,[04:57:00.3125704],9769,323082,136436
498,[04:57:00.4626648],8604,330453,106010
499,[04:57:00.6127592],7191,322847,127731
500,[04:57:00.7628536],5757,307787,91453
501,[04:57:00.9129480],9582,340326,113431
502,[04:57:01.0630423],14175,291308,99442
503,[04:57:01.2131367],7345,391561,85814
504,[04:57:01.3632312],9728,338811,161365
