Predicted duration,1.3,,,
Predicted error,0.6,,,
Predicted start,02:16:08,,,
Notes,starts from frame 1 and first ~100 frames are 'dropped frames'. incorrect data because the cpu was overloaded,,,
FrameNum,timeInfo,signal-target,signal-track1
337,[02:16:00.1119264],14759,571138
338,[02:16:00.1621605],12223,540114
339,[02:16:00.2133495],14545,528241
340,[02:16:00.2640374],14466,504778
341,[02:16:00.3148741],11673,538013
342,[02:16:00.3623292],15449,521377
343,[02:16:00.4121783],11483,520364
344,[02:16:00.4641299],12583,543042
345,[02:16:00.5137477],13055,538438
346,[02:16:00.5619774],12143,548698
347,[02:16:00.6119253],12044,551695
348,[02:16:00.6621367],12193,570492
349,[02:16:00.7138904],12961,507390
350,[02:16:00.7630984],12660,552044
351,[02:16:00.8117646],12081,543363
352,[02:16:00.8619436],13935,540461
353,[02:16:00.9121650],12546,555207
354,[02:16:00.9636980],13960,549519
355,[02:16:01.0137395],11247,566654
356,[02:16:01.0620851],16118,532332
357,[02:16:01.1126939],12213,550718
358,[02:16:01.1623338],14528,516583
359,[02:16:01.2141761],12259,535393
360,[02:16:01.2637539],12496,539396
361,[02:16:01.3147797],12676,553328
362,[02:16:01.3629504],13604,545889
363,[02:16:01.4129947],13722,537340
364,[02:16:01.4633948],14161,545008
365,[02:16:01.5145681],13226,561653
366,[02:16:01.5630494],12283,539645
367,[02:16:01.6135780],13430,566265
368,[02:16:01.6637388],14318,528245
369,[02:16:01.7186984],14195,562464
370,[02:16:01.7659009],13635,543091
371,[02:16:01.8149415],12357,569473
372,[02:16:01.8648283],13026,570097
373,[02:16:01.9142908],11635,547182
374,[02:16:01.9635977],14787,528300
375,[02:16:02.0161453],13334,542624
376,[02:16:02.0646581],15729,553816
377,[02:16:02.1138742],12844,511872
378,[02:16:02.1640489],13942,590886
379,[02:16:02.2140525],14250,548266
380,[02:16:02.2666722],11802,515654
381,[02:16:02.3154733],10777,544708
382,[02:16:02.3645991],13252,510655
383,[02:16:02.4144073],12684,540279
384,[02:16:02.4651383],14284,529895
385,[02:16:02.5150933],11342,524342
386,[02:16:02.5678013],12330,549096
387,[02:16:02.6183314],12102,532369
