Predicted duration,0.52,,,
Predicted error,0.2,,,
Predicted start,00:22:05,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
372,[00:22:03.7830546],39481,352442
373,[00:22:03.8330641],40649,339680
374,[00:22:03.8833150],42667,346369
375,[00:22:03.9333061],40014,356103
376,[00:22:03.9837094],39075,354750
377,[00:22:04.0336899],38792,358887
378,[00:22:04.0833875],42159,334410
379,[00:22:04.1336525],39383,339302
380,[00:22:04.1837496],42179,347766
381,[00:22:04.2334731],35899,364182
382,[00:22:04.2838491],40831,342094
383,[00:22:04.3336713],38520,362736
384,[00:22:04.3841538],37804,360776
385,[00:22:04.4342465],34774,364727
386,[00:22:04.4841701],36896,352117
387,[00:22:04.5340441],36100,359930
388,[00:22:04.5841891],40375,370698
389,[00:22:04.6340872],39688,346433
390,[00:22:04.6841475],36975,366965
391,[00:22:04.7343977],36064,360180
392,[00:22:04.7845710],35402,351068
393,[00:22:04.8342707],33162,360659
394,[00:22:04.8834639],34675,364795
395,[00:22:04.9338376],36167,344897
396,[00:22:04.9839518],36018,353527
397,[00:22:05.0337761],35853,344121
398,[00:22:05.0844124],35940,363278
399,[00:22:05.1340666],36038,357310
400,[00:22:05.1855388],35080,368531
401,[00:22:05.2354981],37995,362817
402,[00:22:05.2845341],34796,362718
403,[00:22:05.3345270],37953,366635
404,[00:22:05.3848091],3627,365821
405,[00:22:05.4353263],-1683,368780
406,[00:22:05.4857409],1766,353589
407,[00:22:05.5357968],876,356676
408,[00:22:05.5848549],1900,368965
409,[00:22:05.6351667],311,348086
410,[00:22:05.6854096],-1,335471
411,[00:22:05.7350102],600,367763
412,[00:22:05.7851570],915,353469
413,[00:22:05.8351298],2957,364496
414,[00:22:05.8876120],26046,348757
415,[00:22:05.9356725],33521,359704
416,[00:22:05.9855629],35774,347976
417,[00:22:06.0355633],32368,356073
418,[00:22:06.0859630],30118,357350
419,[00:22:06.1365314],31401,352006
420,[00:22:06.1858099],37059,344546
421,[00:22:06.2362636],35605,344056
422,[00:22:06.2862717],33388,346446
423,[00:22:06.3361994],37959,340014
424,[00:22:06.3861968],34631,353585
425,[00:22:06.4361515],37165,360156
426,[00:22:06.4866468],33728,364041
427,[00:22:06.5363195],39391,342160
428,[00:22:06.5863979],35315,358644
429,[00:22:06.6364019],36037,368784
430,[00:22:06.6866884],37675,372679
431,[00:22:06.7374728],33354,348176
432,[00:22:06.7872037],33252,341767
433,[00:22:06.8387971],29434,339413
434,[00:22:06.8869642],33283,356801
435,[00:22:06.9378625],35865,347122
436,[00:22:06.9868756],33573,361107
437,[00:22:07.0374070],34842,349688
438,[00:22:07.0875274],33769,351190
439,[00:22:07.1381073],34701,355258
440,[00:22:07.1885844],33185,349826
441,[00:22:07.2388760],36953,341612
442,[00:22:07.2909355],35643,340943
443,[00:22:07.3402310],37571,349302
444,[00:22:07.3884498],37214,351318
445,[00:22:07.4387003],36700,336955
446,[00:22:07.4887110],37838,352920
447,[00:22:07.5384524],37547,533208
448,[00:22:07.5895223],40264,368343
449,[00:22:07.6390705],35148,366333
450,[00:22:07.6889719],36077,373109
451,[00:22:07.7407034],36996,374844
452,[00:22:07.7892255],35914,382827
453,[00:22:07.8399849],35446,368519
454,[00:22:07.8898941],36582,349635
455,[00:22:07.9420775],37111,331994
456,[00:22:07.9918870],37474,338588
457,[00:22:08.0404865],37742,354672
458,[00:22:08.0908414],40201,372228
459,[00:22:08.1418971],39101,348688
460,[00:22:08.1906170],38187,352070
461,[00:22:08.2401872],28576,356757
462,[00:22:08.2899946],38488,365685
463,[00:22:08.3409708],38046,363835
464,[00:22:08.3901019],36576,363383
465,[00:22:08.4404321],39183,373702
466,[00:22:08.4901260],39947,371527
467,[00:22:08.5390796],40606,358634
468,[00:22:08.5909469],40272,356896
469,[00:22:08.6393312],35227,358399
470,[00:22:08.6911018],37499,367394
471,[00:22:08.7400750],39744,354826
472,[00:22:08.7901987],35696,360373
473,[00:22:08.8401521],39922,369211
474,[00:22:08.8902613],31137,369095
475,[00:22:08.9399329],31009,348254
476,[00:22:08.9900486],29618,360868
477,[00:22:09.0401189],32476,369626
478,[00:22:09.0902946],32101,356698
479,[00:22:09.1420735],30238,355429
480,[00:22:09.1907145],30657,361320
481,[00:22:09.2410706],30974,359556
