Predicted duration,22.4,,,
Predicted error,0.7,,,
Predicted start,03:56:57,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
275,[03:56:33.4259516],12162,45339,3663
276,[03:56:33.4459268],15402,44701,3173
277,[03:56:33.4660391],13514,51091,5025
278,[03:56:33.4862212],14645,49156,7252
279,[03:56:33.5061462],16696,46281,6237
280,[03:56:33.5263013],14280,50821,6014
281,[03:56:33.5463622],14091,49304,3922
282,[03:56:33.5664766],14153,46577,4324
283,[03:56:33.5865073],17149,44659,6441
284,[03:56:33.6066152],17282,47921,6751
285,[03:56:33.6267154],15059,48622,5451
286,[03:56:33.6467986],12907,47254,5276
287,[03:56:33.6668297],12796,46819,5125
288,[03:56:33.6871161],16983,50911,4875
289,[03:56:33.7070637],14487,47748,4996
290,[03:56:33.7273757],15637,45285,6610
291,[03:56:33.7472108],13958,47552,5784
292,[03:56:33.7672833],16538,48984,4753
293,[03:56:33.7874616],16558,46334,6040
294,[03:56:33.8075195],14820,47287,6588
295,[03:56:33.8276106],16997,46446,6555
296,[03:56:33.8477021],16533,45789,4725
297,[03:56:33.8677714],15490,45538,5519
298,[03:56:33.8878078],15465,47443,3719
299,[03:56:33.9078211],14688,46606,5638
300,[03:56:33.9279258],13047,46143,4862
301,[03:56:33.9480055],13677,44339,6709
302,[03:56:33.9681463],13222,46001,7073
303,[03:56:33.9880554],14381,48654,4050
304,[03:56:34.0082941],15245,44566,2579
305,[03:56:34.0283734],13700,49379,6904
306,[03:56:34.0483986],14936,44857,2935
307,[03:56:34.0684995],14969,44711,4828
308,[03:56:34.0885815],10701,41362,4016
309,[03:56:34.1085108],14036,42482,3333
310,[03:56:34.1285032],15114,44402,5085
311,[03:56:34.1487186],12350,47532,5025
312,[03:56:34.1689536],12084,43045,5375
313,[03:56:34.1888402],13867,49433,4616
314,[03:56:34.2091444],11937,46270,5228
315,[03:56:34.2291736],11348,43073,4478
316,[03:56:34.2492229],12724,44471,3062
317,[03:56:34.2692981],12922,47758,5226
318,[03:56:34.2893642],14434,47840,3549
319,[03:56:34.3094413],14759,49392,4340
320,[03:56:34.3294822],14411,46998,2952
321,[03:56:34.3495415],14759,47709,7345
322,[03:56:34.3695107],13499,42475,7487
323,[03:56:34.3896137],16266,48810,3579
324,[03:56:34.4097568],16217,43082,5523
325,[03:56:34.4297851],15927,43774,3728
326,[03:56:34.4498720],18239,46347,5896
327,[03:56:34.4701160],16298,44536,6049
328,[03:56:34.4902172],16698,50635,4234
329,[03:56:34.5102981],15979,47242,5308
330,[03:56:34.5304970],16381,49713,6114
331,[03:56:34.5502868],15851,49232,5626
332,[03:56:34.5704050],16706,43420,6141
333,[03:56:34.5904946],16663,52597,4770
334,[03:56:34.6106558],15949,47478,6814
335,[03:56:34.6307194],15368,46989,5522
336,[03:56:34.6508338],16470,48393,7466
337,[03:56:34.6707594],15555,46663,8171
338,[03:56:34.6910414],16140,49895,5900
339,[03:56:34.7111016],17501,47439,7399
340,[03:56:34.7310630],15690,45015,5471
341,[03:56:34.7512293],16566,44178,5637
342,[03:56:34.7711964],14205,45586,7155
343,[03:56:34.7913893],16770,45629,7209
344,[03:56:34.8113315],15204,41723,6631
345,[03:56:34.8313865],17475,44248,5933
346,[03:56:34.8529769],16837,44933,6265
347,[03:56:34.8715828],15825,48147,7411
348,[03:56:34.8917258],14649,49314,8934
349,[03:56:34.9117331],15644,47783,5319
350,[03:56:34.9318283],18863,44815,7345
351,[03:56:34.9520039],19243,43919,7444
352,[03:56:34.9720017],15982,46911,8026
353,[03:56:34.9920856],18641,49810,9415
354,[03:56:35.0121288],16988,47328,6494
355,[03:56:35.0322677],16081,48087,7652
356,[03:56:35.0522765],16841,48044,6641
357,[03:56:35.0724878],16589,42032,7019
358,[03:56:35.0925023],17321,45928,6839
359,[03:56:35.1125219],15856,51592,8007
360,[03:56:35.1325929],14706,47500,3144
361,[03:56:35.1528123],15466,46722,7812
362,[03:56:35.1728232],16238,47473,6816
363,[03:56:35.1928750],16625,48606,6816
364,[03:56:35.2128876],13630,45361,6426
365,[03:56:35.2329831],12710,45960,5397
366,[03:56:35.2530273],13925,44274,4250
367,[03:56:35.2732049],13004,44835,4139
368,[03:56:35.2931791],13302,45586,5117
369,[03:56:35.3137546],14121,49597,2957
370,[03:56:35.3334336],13879,42618,2842
371,[03:56:35.3534998],12587,43817,3874
372,[03:56:35.3735371],11567,43285,4565
373,[03:56:35.3936931],15222,45095,3332
374,[03:56:35.4137158],15583,45394,4544
375,[03:56:35.4337911],14764,44086,3715
376,[03:56:35.4538882],13576,46362,4652
377,[03:56:35.4740136],11799,45880,4042
378,[03:56:35.4940828],12025,48007,3322
379,[03:56:35.5141511],11791,43297,3842
380,[03:56:35.5343327],12787,40685,3211
381,[03:56:35.5543290],14505,45698,5478
382,[03:56:35.5743948],13096,43849,3003
383,[03:56:35.5947220],13146,44986,4959
384,[03:56:35.6144978],14377,44427,5825
385,[03:56:35.6345615],12851,46263,3298
386,[03:56:35.6547689],11982,44190,3645
387,[03:56:35.6747339],11525,45834,4365
388,[03:56:35.6949484],10891,41896,5731
389,[03:56:35.7161327],11788,44308,4374
390,[03:56:35.7351139],12165,44786,3227
391,[03:56:35.7551180],14264,40174,5322
392,[03:56:35.7752442],14869,46338,4963
393,[03:56:35.7953757],13066,46947,2384
394,[03:56:35.8154174],11514,46096,2638
395,[03:56:35.8354798],13184,45250,2993
396,[03:56:35.8554033],11857,43582,4482
397,[03:56:35.8756220],9339,43293,3438
398,[03:56:35.8957805],10453,40829,3750
399,[03:56:35.9157954],11270,37941,5319
400,[03:56:35.9358401],11220,34102,3407
401,[03:56:35.9559696],9353,37791,4333
402,[03:56:35.9759782],9363,41435,4367
403,[03:56:35.9961238],9761,43066,3358
404,[03:56:36.0161469],8540,43865,5627
405,[03:56:36.0361698],11094,42547,2338
406,[03:56:36.0562581],10484,39230,4392
407,[03:56:36.0763461],9872,40698,4530
408,[03:56:36.0964515],12618,41622,5247
409,[03:56:36.1164938],12968,45564,3864
410,[03:56:36.1366359],8939,40243,5164
411,[03:56:36.1566374],11441,36042,4651
412,[03:56:36.1767907],8429,34209,4044
413,[03:56:36.1973554],11253,38108,4303
414,[03:56:36.2169125],11962,40815,2382
415,[03:56:36.2370027],10934,37472,4706
416,[03:56:36.2570701],12717,40863,4553
417,[03:56:36.2771716],9870,40859,4112
418,[03:56:36.2973591],12375,39558,2785
419,[03:56:36.3173262],12657,34566,3420
420,[03:56:36.3374600],13154,37679,5160
421,[03:56:36.3574605],13221,41082,4085
422,[03:56:36.3775857],13691,41653,4308
423,[03:56:36.3976622],12822,37560,4420
424,[03:56:36.4177217],11981,41947,2578
425,[03:56:36.4378301],14053,38497,2831
426,[03:56:36.4578356],11079,40578,4956
427,[03:56:36.4778852],11549,40612,2993
428,[03:56:36.4979944],13778,44613,5331
429,[03:56:36.5189142],11345,44955,3465
430,[03:56:36.5382501],13719,40628,5057
431,[03:56:36.5583325],10818,43639,4269
432,[03:56:36.5783126],11812,40217,2817
433,[03:56:36.5984206],12917,40601,2315
434,[03:56:36.6185223],12015,39047,3356
435,[03:56:36.6385418],9999,45935,5410
436,[03:56:36.6585834],13208,45598,4616
437,[03:56:36.6788064],12074,43576,5285
438,[03:56:36.6988109],12240,46459,3489
439,[03:56:36.7189962],10684,41459,4683
440,[03:56:36.7389288],10992,41816,2678
441,[03:56:36.7590426],13419,41427,5194
442,[03:56:36.7791204],13196,46472,3696
443,[03:56:36.7992378],12420,44149,2078
444,[03:56:36.8193168],11722,47028,3410
445,[03:56:36.8394477],13671,44427,4883
446,[03:56:36.8594416],10171,44814,4661
447,[03:56:36.8794853],11071,45654,4054
448,[03:56:36.8995161],12147,44434,4072
449,[03:56:36.9195850],12955,46901,4397
450,[03:56:36.9396689],12451,44692,4383
451,[03:56:36.9596018],9053,45632,3308
452,[03:56:36.9797940],15091,43144,4420
453,[03:56:36.9999119],13374,46567,2447
454,[03:56:37.0201452],11295,45457,4566
455,[03:56:37.0402098],15035,46238,4773
456,[03:56:37.0602180],12447,48389,5276
457,[03:56:37.0802106],14786,50371,5385
458,[03:56:37.1002195],13388,47304,4439
459,[03:56:37.1203813],13870,48750,7504
460,[03:56:37.1405097],14262,46897,7793
461,[03:56:37.1605891],13523,43137,4795
462,[03:56:37.1805861],14057,50343,7327
463,[03:56:37.2007091],15400,50589,3808
464,[03:56:37.2209113],13830,44981,5910
465,[03:56:37.2408741],17393,44392,4357
466,[03:56:37.2610173],13632,44975,4387
467,[03:56:37.2810689],15537,48404,4375
468,[03:56:37.3011071],11711,46913,6022
469,[03:56:37.3211608],14734,48548,5431
470,[03:56:37.3414350],17310,44905,5450
471,[03:56:37.3614635],15870,45789,2920
472,[03:56:37.3814251],10456,46820,5232
473,[03:56:37.4014817],15795,48911,4541
474,[03:56:37.4215804],17370,46108,2774
475,[03:56:37.4417000],15167,49092,5129
476,[03:56:37.4618937],16039,47897,6155
477,[03:56:37.4818326],16205,48071,7752
478,[03:56:37.5018769],18177,48673,8535
479,[03:56:37.5219446],16333,49699,6623
480,[03:56:37.5420649],15293,48603,6233
481,[03:56:37.5625739],17545,49903,4297
482,[03:56:37.5820972],15277,48969,6308
483,[03:56:37.6022433],17084,45355,6766
484,[03:56:37.6223342],15156,46150,5206
485,[03:56:37.6423492],15995,48874,4639
486,[03:56:37.6623849],15469,48770,7366
487,[03:56:37.6826207],14782,44357,7855
488,[03:56:37.7027651],15584,44148,5582
489,[03:56:37.7226906],15679,43984,4824
490,[03:56:37.7427951],17407,44771,3563
491,[03:56:37.7634611],16528,45423,2797
492,[03:56:37.7830602],16740,43858,5715
493,[03:56:37.8031590],16004,49479,5136
494,[03:56:37.8232766],16620,46604,3554
495,[03:56:37.8433816],15460,45656,5469
496,[03:56:37.8633458],14725,42694,7694
497,[03:56:37.8836042],14319,47164,6397
498,[03:56:37.9035245],14319,46665,6294
499,[03:56:37.9237168],10475,47182,6123
500,[03:56:37.9437984],15143,47417,6968
501,[03:56:37.9637153],15159,47057,5878
502,[03:56:37.9840032],16277,44404,5114
503,[03:56:38.0039943],17506,45937,4848
504,[03:56:38.0239905],14011,47986,7522
505,[03:56:38.0441713],13728,49407,4740
506,[03:56:38.0641424],15121,49469,2959
507,[03:56:38.0842019],16908,48448,7309
508,[03:56:38.1042515],14261,51493,6006
509,[03:56:38.1243796],15176,49735,7588
510,[03:56:38.1444471],13241,48508,5860
511,[03:56:38.1645089],13592,48554,5277
512,[03:56:38.1846283],14513,47499,8135
513,[03:56:38.2045201],12684,50763,7602
514,[03:56:38.2247379],11952,49882,4481
515,[03:56:38.2447538],12521,46712,7036
516,[03:56:38.2647905],14381,48764,7922
517,[03:56:38.2849915],19030,48009,6425
518,[03:56:38.3049923],16815,51215,6733
519,[03:56:38.3250371],16485,43047,7284
520,[03:56:38.3454037],16399,46658,3303
521,[03:56:38.3651916],16759,49056,5876
522,[03:56:38.3853206],14015,45543,6040
523,[03:56:38.4055015],14998,52043,5580
524,[03:56:38.4256522],16026,48430,4176
525,[03:56:38.4455393],16157,47895,6735
526,[03:56:38.4656199],13660,44432,6469
527,[03:56:38.4857563],13439,46566,6845
528,[03:56:38.5058002],13050,49547,9480
529,[03:56:38.5259202],16164,48195,7721
530,[03:56:38.5459645],16879,48934,5271
531,[03:56:38.5660652],16943,48785,5075
532,[03:56:38.5863853],18166,50607,7269
533,[03:56:38.6061834],14560,46616,8152
534,[03:56:38.6263417],16773,47173,5052
535,[03:56:38.6465974],15762,44975,6567
536,[03:56:38.6665438],13670,49115,7332
537,[03:56:38.6864590],15933,49500,7683
538,[03:56:38.7067110],16339,47614,6165
539,[03:56:38.7267040],14741,45240,7079
540,[03:56:38.7470394],14942,44045,7607
541,[03:56:38.7667668],16040,43942,7725
542,[03:56:38.7869594],14609,50502,5557
543,[03:56:38.8069619],16978,47810,8623
544,[03:56:38.8270671],17524,49289,4386
545,[03:56:38.8473649],15026,48701,5127
546,[03:56:38.8672701],16516,50643,6111
547,[03:56:38.8874063],17118,48892,5209
548,[03:56:38.9074221],17246,46059,4664
549,[03:56:38.9274755],16443,46731,7385
550,[03:56:38.9474939],18508,43684,6964
551,[03:56:38.9676684],16897,44328,5750
552,[03:56:38.9877776],18309,47888,8242
553,[03:56:39.0079520],16873,46816,8602
554,[03:56:39.0278853],16573,42416,7715
555,[03:56:39.0478750],14154,46194,5781
